Item,Artist,Album Name,Id,Song Name,Release Date,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,Mitski,A Burning Hill,3jjsRKEsF42ccXf8kWR3nu,Washing Machine Heart,2018-08-17,83,0.613,0.822,9,-4.087,1,0.026,0.0092,0.506,0.429,0.567,105.997,audio_features,3jjsRKEsF42ccXf8kWR3nu,spotify:track:3jjsRKEsF42ccXf8kWR3nu,https://api.spotify.com/v1/tracks/3jjsRKEsF42ccXf8kWR3nu,https://api.spotify.com/v1/audio-analysis/3jjsRKEsF42ccXf8kWR3nu,128199,4
1,Mitski,A Burning Hill,3sslYZcFKtUvIEWN9lADgr,First Love / Late Spring,2014-11-11,79,0.445,0.543,0,-8.196,1,0.0272,0.000825,0.0137,0.202,0.102,99.963,audio_features,3sslYZcFKtUvIEWN9lADgr,spotify:track:3sslYZcFKtUvIEWN9lADgr,https://api.spotify.com/v1/tracks/3sslYZcFKtUvIEWN9lADgr,https://api.spotify.com/v1/audio-analysis/3sslYZcFKtUvIEWN9lADgr,278640,4
2,Mitski,A Burning Hill,2P5yIMu2DNeMXTyOANKS6k,Nobody,2018-08-17,78,0.398,0.717,0,-5.253,1,0.0398,0.07,0.0,0.085,0.487,117.296,audio_features,2P5yIMu2DNeMXTyOANKS6k,spotify:track:2P5yIMu2DNeMXTyOANKS6k,https://api.spotify.com/v1/tracks/2P5yIMu2DNeMXTyOANKS6k,https://api.spotify.com/v1/audio-analysis/2P5yIMu2DNeMXTyOANKS6k,193429,4
3,Mitski,A Burning Hill,5411TEB6tlzvuF5A4oyldr,Francis Forever,2014-11-11,78,0.535,0.448,2,-9.167,1,0.0279,0.00262,1.94e-05,0.115,0.32,101.986,audio_features,5411TEB6tlzvuF5A4oyldr,spotify:track:5411TEB6tlzvuF5A4oyldr,https://api.spotify.com/v1/tracks/5411TEB6tlzvuF5A4oyldr,https://api.spotify.com/v1/audio-analysis/5411TEB6tlzvuF5A4oyldr,149680,4
4,Mitski,A Burning Hill,3pANfZVFdtuVnJsE6xa5Ox,Me and My Husband,2018-08-17,77,0.497,0.638,1,-5.31,1,0.0274,0.0467,0.0,0.385,0.77,172.01,audio_features,3pANfZVFdtuVnJsE6xa5Ox,spotify:track:3pANfZVFdtuVnJsE6xa5Ox,https://api.spotify.com/v1/tracks/3pANfZVFdtuVnJsE6xa5Ox,https://api.spotify.com/v1/audio-analysis/3pANfZVFdtuVnJsE6xa5Ox,137142,4
5,Mitski,A Burning Hill,7fd3aMiuwHWKsTdZafjOfZ,A Pearl,2018-08-17,75,0.295,0.637,8,-4.043,1,0.0288,0.0496,0.0236,0.112,0.221,84.551,audio_features,7fd3aMiuwHWKsTdZafjOfZ,spotify:track:7fd3aMiuwHWKsTdZafjOfZ,https://api.spotify.com/v1/tracks/7fd3aMiuwHWKsTdZafjOfZ,https://api.spotify.com/v1/audio-analysis/7fd3aMiuwHWKsTdZafjOfZ,156146,4
6,Mitski,A Burning Hill,2Co0IjcLTSHMtodwD4gzfg,I Bet on Losing Dogs,2016-06-17,75,0.398,0.493,9,-9.561,1,0.0303,0.00347,0.000157,0.106,0.412,82.048,audio_features,2Co0IjcLTSHMtodwD4gzfg,spotify:track:2Co0IjcLTSHMtodwD4gzfg,https://api.spotify.com/v1/tracks/2Co0IjcLTSHMtodwD4gzfg,https://api.spotify.com/v1/audio-analysis/2Co0IjcLTSHMtodwD4gzfg,170240,4
7,Mitski,A Burning Hill,3XCveEutwTaDiekRkkfdp9,Liquid Smooth,2012-01-31,73,0.424,0.342,7,-9.469,0,0.0339,0.838,0.0,0.136,0.124,76.235,audio_features,3XCveEutwTaDiekRkkfdp9,spotify:track:3XCveEutwTaDiekRkkfdp9,https://api.spotify.com/v1/tracks/3XCveEutwTaDiekRkkfdp9,https://api.spotify.com/v1/audio-analysis/3XCveEutwTaDiekRkkfdp9,169773,4
8,Mitski,A Burning Hill,7FHj19QQigvMH1onMYRNLn,I Want You,2013-08-01,72,0.339,0.292,3,-11.294,1,0.0348,0.514,0.0,0.0713,0.0655,131.702,audio_features,7FHj19QQigvMH1onMYRNLn,spotify:track:7FHj19QQigvMH1onMYRNLn,https://api.spotify.com/v1/tracks/7FHj19QQigvMH1onMYRNLn,https://api.spotify.com/v1/audio-analysis/7FHj19QQigvMH1onMYRNLn,183792,3
9,Mitski,A Burning Hill,6gz3orrUlKresI8GShSkdq,A Burning Hill,2016-06-17,69,0.462,0.191,2,-14.993,1,0.0374,0.77,0.00264,0.107,0.0996,132.034,audio_features,6gz3orrUlKresI8GShSkdq,spotify:track:6gz3orrUlKresI8GShSkdq,https://api.spotify.com/v1/tracks/6gz3orrUlKresI8GShSkdq,https://api.spotify.com/v1/audio-analysis/6gz3orrUlKresI8GShSkdq,109628,1
